vehicle     methods     min_compression     mean_compression     max_compression     low_one_byte_ratio     encoding_time(us)     decoding_time(us)     error_ratio(%)     memory(KB)     
10          TBDR-004    5                   24.5                 56                  18.99                  13.72                 11.26                 0.0                92             
10          TBDR-005    5                   23.27                56                  18.99                  12.94                 11.52                 0.0                92             
10          TBDR-006    5                   23.23                56                  18.99                  13.44                 11.88                 0.0                92             
10          TBDR-007    6                   23.22                56                  18.99                  13.52                 11.57                 0.0                92             
10          TBDR-008    6                   23.11                56                  18.99                  13.07                 11.39                 0.0                92             
10          TBDR-009    6                   22.91                56                  18.99                  13.49                 11.91                 0.0                92             
11          TBDR-000    0                   38.35                56                  0.0                    12.01                 10.72                 0.0                82             
11          TBDR-001    0                   38.17                56                  0.0                    12.12                 10.65                 0.0                82             
11          TBDR-002    0                   38.07                56                  0.0                    11.82                 10.71                 0.0                82             
11          TBDR-003    0                   38.04                56                  0.0                    11.78                 10.35                 0.0                82             
11          TBDR-004    0                   37.97                56                  0.0                    11.92                 10.28                 0.0                82             
11          TBDR-005    0                   37.9                 56                  0.0                    11.84                 10.57                 0.0                82             
11          TBDR-006    14                  37.52                56                  0.0                    11.81                 10.52                 0.0                82             
11          TBDR-007    14                  37.47                56                  0.0                    11.71                 10.35                 0.0                82             
11          TBDR-008    14                  37.47                56                  0.0                    11.89                 10.38                 0.0                82             
11          TBDR-009    14                  37.47                56                  0.0                    11.51                 10.33                 0.0                82             
12          TBDR-000    0                   37.33                56                  1.45                   13.2                  11.16                 0.0                193            
12          TBDR-001    0                   37.31                56                  1.45                   13.73                 11.03                 0.0                193            
12          TBDR-002    0                   37.07                56                  1.44                   13.49                 10.81                 0.0                193            
12          TBDR-003    0                   37.01                56                  2.1                    12.96                 11.21                 0.0                193            
12          TBDR-004    0                   37.01                56                  2.1                    12.98                 11.62                 0.0                193            
12          TBDR-005    0                   37.01                56                  2.1                    13.5                  10.69                 0.0                193            
12          TBDR-006    4                   36.95                56                  2.09                   13.37                 11.06                 0.0                193            
12          TBDR-007    8                   36.74                56                  2.08                   13.08                 11.31                 0.0                193            
12          TBDR-008    8                   36.71                56                  2.08                   12.79                 11.13                 0.0                193            
12          TBDR-009    8                   36.36                56                  2.08                   12.35                 10.7                  0.0                193            
13          TBDR-000    0                   51.26                56                  0.03                   9.53                  11.69                 0.0                111            
13          TBDR-001    0                   51.26                56                  0.03                   11.76                 8.17                  0.0                111            
