Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
17          TBDR        0       29.8     56      10.5     15.68       11.69       0.0          232         
17          ITBDR       0       31.17    56      10.23    12.14       13.76       0.0          102         
17          TDBDR       0       35.33    56      0.01     16.05       14.63       0.0          164         
17          ITDBDR      0       35.68    56      0.01     15.2        16.93       0.0          114         
17          VDCTBDR     0       35.9     56      0.0      17.15       14.48       0.0          481         
17          IVDCTBDR    0       36.25    56      0.0      20.37       23.55       0.0          304         
18          Baseline    0       39.53    56      7.54     2.16        6.41        0.0          59          
18          CASmap      0       35.83    61      11.72    47.68       46.22       0.0          59          
18          SFDC        0       44.18    64      11.71    11.16       29.16       0.0          84          
18          TBDR        0       36.73    56      8.18     16.07       11.97       0.0          335         
18          ITBDR       0       37.17    56      7.92     12.24       13.36       0.0          168         
18          TDBDR       0       41.76    56      0.02     14.38       13.35       0.0          249         
18          ITDBDR      0       41.77    56      0.01     14.4        16.1        0.0          188         
18          VDCTBDR     0       42.45    56      0.01     17.72       15.6        0.0          738         
18          IVDCTBDR    0       42.46    56      0.0      37.21       44.03       0.0          512         
19          Baseline    0       42.64    56      0.36     6.29        21.86       0.0          33          
19          CASmap      0       40.82    61      4.23     138.87      134.93      0.0          33          
19          SFDC        0       42.35    64      5.95     31.49       82.96       0.0          47          
19          TBDR        5       33.19    56      0.0      47.45       35.63       0.0          183         
19          ITBDR       4       33.97    56      0.0      35.45       38.41       0.0          95          
19          TDBDR       0       39.19    56      0.01     45.19       40.99       0.0          144         
19          ITDBDR      0       39.33    56      0.01     49.07       54.31       0.0          101         
19          VDCTBDR     0       39.8     56      0.0      52.97       46.16       0.0          405         
19          IVDCTBDR    0       39.94    56      0.0      63.47       74.96       0.0          277         
