Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
13          CASmap      0       59.08    61      0.62     121.36      125.9       0.0          41          
13          SFDC        0       50.27    64      2.24     38.0        86.1        0.0          78          
13          TBDR        0       48.4     56      0.01     43.38       39.55       0.0          111         
13          ITBDR       0       48.4     56      0.01     39.26       45.6        0.0          109         
13          TDBDR       0       47.52    56      0.15     42.8        45.22       0.0          121         
13          ITDBDR      0       47.51    56      0.15     43.24       52.12       0.0          120         
13          VDCTBDR     0       48.62    56      0.02     43.52       44.59       0.0          226         
13          IVDCTBDR    0       48.62    56      0.02     63.11       72.32       0.0          224         
14          Baseline    0       46.97    56      6.93     7.58        24.78       0.0          29          
14          CASmap      0       48.27    61      6.05     133.92      135.79      0.0          29          
14          SFDC        6       55.46    64      1.54     31.81       78.34       0.0          43          
14          TBDR        20      49.27    56      0.0      42.68       36.43       0.0          102         
14          ITBDR       20      49.61    56      0.0      35.27       41.76       0.0          81          
14          TDBDR       0       52.28    56      0.01     40.98       42.04       0.0          96          
14          ITDBDR      0       52.29    56      0.01     40.35       48.82       0.0          89          
14          VDCTBDR     22      52.67    56      0.0      40.63       41.73       0.0          191         
14          IVDCTBDR    22      52.62    56      0.0      61.4        70.7        0.0          166         
15          Baseline    0       44.69    56      2.52     8.01        24.7        0.0          64          
15          CASmap      0       43.5     61      7.71     139.64      139.17      0.0          64          
15          SFDC        0       46.44    64      1.39     31.95       78.2        0.0          96          
15          TBDR        0       32.82    56      10.45    50.42       40.02       0.0          334         
15          ITBDR       0       33.18    56      10.45    38.13       41.75       0.0          184         
15          TDBDR       0       36.35    56      0.35     45.22       45.87       0.0          275         
15          ITDBDR      0       36.23    56      4.18     43.9        52.26       0.0          206         
15          VDCTBDR     0       37.2     56      0.35     48.22       47.3        0.0          602         
15          IVDCTBDR    0       37.08    56      4.18     67.13       74.66       0.0          383         
16          Baseline    0       39.96    56      12.12    8.74        24.36       0.0          31          
16          CASmap      0       36.6     61      15.24    145.15      143.33      0.0          31          
16          SFDC        0       44.26    64      6.21     31.32       76.97       0.0          44          
16          TBDR        0       30.16    56      16.07    54.02       40.1        0.0          185         
16          ITBDR       6       31.63    56      16.07    38.01       41.23       0.0          89          
16          TDBDR       0       35.95    56      0.0      47.38       46.22       0.0          138         
16          ITDBDR      0       36.48    56      0.0      43.62       51.66       0.0          97          
16          VDCTBDR     0       36.26    56      0.0      50.31       47.6        0.0          316         
16          IVDCTBDR    6       36.79    56      0.0      67.02       74.64       0.0          182         
17          Baseline    0       42.16    56      6.01     8.26        24.04       0.0          37          
17          CASmap      0       37.78    61      10.43    143.65      141.84      0.0          37          
17          SFDC        0       44.11    64      3.92     32.04       80.84       0.0          53          
17          TBDR        0       29.8     56      10.5     52.9        40.32       0.0          232         
17          ITBDR       0       31.17    56      10.23    37.74       41.18       0.0          102         
17          TDBDR       0       35.33    56      0.01     46.83       45.87       0.0          164         
17          ITDBDR      0       35.68    56      0.01     43.53       52.1        0.0          114         
17          VDCTBDR     0       35.9     56      0.0      49.99       47.47       0.0          388         
17          IVDCTBDR    0       36.25    56      0.0      67.06       74.36       0.0          211         
18          Baseline    0       39.53    56      7.54     8.8         24.0        0.0          59          
18          CASmap      0       35.83    61      11.72    145.9       143.48      0.0          59          
18          SFDC        0       44.18    64      11.71    32.15       81.04       0.0          84          
18          TBDR        0       36.73    56      8.18     50.37       38.98       0.0          335         
18          ITBDR       0       37.17    56      7.92     37.69       41.66       0.0          168         
18          TDBDR       0       41.76    56      0.02     45.12       44.46       0.0          249         
18          ITDBDR      0       41.77    56      0.01     43.61       51.65       0.0          188         
18          VDCTBDR     0       42.45    56      0.01     48.21       46.21       0.0          577         
18          IVDCTBDR    0       42.46    56      0.0      66.24       74.22       0.0          350         
19          Baseline    0       42.64    56      0.36     8.29        24.26       0.0          33          
19          CASmap      0       40.82    61      4.23     143.58      142.44      0.0          33          
19          SFDC        0       42.35    64      5.95     31.77       78.79       0.0          47          
19          TBDR        5       33.19    56      0.0      50.75       40.26       0.0          183         
19          ITBDR       4       33.97    56      0.0      38.89       42.57       0.0          95          
19          TDBDR       0       39.19    56      0.01     45.48       45.97       0.0          144         
19          ITDBDR      0       39.33    56      0.01     43.5        51.84       0.0          101         
19          VDCTBDR     0       39.8     56      0.0      48.37       47.35       0.0          320         
19          IVDCTBDR    0       39.94    56      0.0      66.15       74.14       0.0          191         
